iter	Passed	Remaining
0	0	71
1	1	76
2	2	69
3	2	62
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	57
10	6	56
11	7	56
12	8	56
13	9	55
14	9	54
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	46
27	17	46
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	14
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
