Attrition,Age,BusinessTravel,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
Yes,41,Travel_Rarely,2,3,2,Sales Executive,4,Single,5993,Yes,0,8,1,6,4,5
No,49,Travel_Frequently,3,2,2,Research Scientist,2,Married,5130,No,1,10,3,10,7,7
Yes,37,Travel_Rarely,4,2,1,Laboratory Technician,3,Single,2090,Yes,0,7,3,0,0,0
No,33,Travel_Frequently,4,3,1,Research Scientist,3,Married,2909,Yes,0,8,3,8,7,0
No,27,Travel_Rarely,1,3,1,Laboratory Technician,2,Married,3468,No,1,6,3,2,2,2
No,32,Travel_Frequently,4,3,1,Laboratory Technician,4,Single,3068,No,0,8,2,7,7,6
No,59,Travel_Rarely,3,4,1,Laboratory Technician,1,Married,2670,Yes,3,12,2,1,0,0
No,30,Travel_Rarely,4,3,1,Laboratory Technician,3,Divorced,2693,No,1,1,3,1,0,0
No,38,Travel_Frequently,4,2,3,Manufacturing Director,3,Single,9526,No,0,10,3,9,7,8
No,36,Travel_Rarely,3,3,2,Healthcare Representative,3,Married,5237,No,2,17,2,7,7,7
No,35,Travel_Rarely,1,4,1,Laboratory Technician,2,Married,2426,No,1,6,3,5,4,3
No,29,Travel_Rarely,4,2,2,Laboratory Technician,3,Single,4193,Yes,0,10,3,9,5,8
No,31,Travel_Rarely,1,3,1,Research Scientist,3,Divorced,2911,No,1,5,2,5,2,3
No,34,Travel_Rarely,2,3,1,Laboratory Technician,4,Divorced,2661,No,1,3,3,2,2,2
Yes,28,Travel_Rarely,3,2,1,Laboratory Technician,3,Single,2028,Yes,0,6,3,4,2,3
No,29,Travel_Rarely,2,4,3,Manufacturing Director,1,Divorced,9980,No,1,10,3,10,9,8
No,32,Travel_Rarely,1,4,1,Research Scientist,2,Divorced,3298,Yes,2,7,2,6,2,5
No,22,Non-Travel,4,4,1,Laboratory Technician,4,Divorced,2935,Yes,2,1,2,1,0,0
No,53,Travel_Rarely,1,2,4,Manager,4,Married,15427,No,0,31,3,25,8,7
No,38,Travel_Rarely,4,3,1,Research Scientist,4,Single,3944,Yes,0,6,3,3,2,2
No,24,Non-Travel,1,4,2,Manufacturing Director,3,Divorced,4011,No,1,5,2,4,2,3
Yes,36,Travel_Rarely,3,2,1,Sales Representative,1,Single,3407,No,0,10,3,5,3,3
No,34,Travel_Rarely,1,3,3,Research Director,2,Single,11994,No,0,13,3,12,6,11
No,21,Travel_Rarely,3,3,1,Research Scientist,4,Single,1232,No,0,0,3,0,0,0
Yes,34,Travel_Rarely,2,3,1,Research Scientist,1,Single,2960,No,0,8,3,4,2,3
No,53,Travel_Rarely,3,3,5,Manager,3,Divorced,19094,No,1,26,2,14,13,8
Yes,32,Travel_Frequently,2,1,1,Research Scientist,1,Single,3919,Yes,0,10,3,10,2,7
No,42,Travel_Rarely,3,3,2,Sales Executive,2,Married,6825,No,1,10,3,9,7,2
No,44,Travel_Rarely,1,2,3,Healthcare Representative,4,Married,10248,No,1,24,3,22,6,17
No,46,Travel_Rarely,2,3,5,Manager,1,Single,18947,No,0,22,2,2,2,1
No,33,Travel_Rarely,3,3,1,Laboratory Technician,4,Single,2496,No,0,7,3,1,1,0
No,44,Travel_Rarely,4,3,2,Healthcare Representative,4,Married,6465,Yes,0,9,4,4,2,3
No,30,Travel_Rarely,4,2,1,Laboratory Technician,3,Single,2206,No,0,10,3,10,0,8
Yes,39,Travel_Rarely,4,3,2,Sales Representative,4,Married,2086,No,1,19,4,1,0,0
Yes,24,Travel_Rarely,2,3,1,Research Scientist,4,Married,2293,Yes,1,6,2,2,0,0
No,43,Travel_Rarely,4,4,1,Research Scientist,3,Divorced,2645,No,2,6,2,5,3,4
Yes,50,Travel_Rarely,1,2,1,Sales Representative,3,Married,2683,Yes,0,3,3,3,2,2
No,35,Travel_Rarely,4,3,1,Sales Representative,4,Married,2014,No,0,2,3,2,2,2
No,36,Travel_Rarely,2,2,1,Research Scientist,1,Married,3419,Yes,1,6,4,1,1,0
No,33,Travel_Frequently,3,4,2,Sales Executive,1,Married,5376,No,2,10,3,5,3,3
No,35,Travel_Rarely,3,3,1,Laboratory Technician,4,Divorced,1951,No,1,1,3,1,0,0
No,27,Travel_Rarely,4,3,1,Laboratory Technician,1,Divorced,2341,No,1,1,3,1,0,0
Yes,26,Travel_Rarely,1,1,1,Laboratory Technician,3,Single,2293,No,0,1,2,1,0,1
No,27,Travel_Frequently,4,3,3,Sales Executive,3,Single,8726,No,0,9,3,9,8,7
No,30,Travel_Frequently,3,3,2,Laboratory Technician,4,Single,4011,No,0,12,3,12,8,7
