OverTime,Age,MonthlyIncome,TotalWorkingYears,JobSatisfaction,YearsAtCompany,EnvironmentSatisfaction,WorkLifeBalance,JobLevel,RelationshipSatisfaction,DistanceFromHome,YearsInCurrentRole,MaritalStatus,YearsWithCurrManager,NumCompaniesWorked,StockOptionLevel,DailyRate,JobInvolvement,YearsSinceLastPromotion,JobRole,HourlyRate,PercentSalaryHike,MonthlyRate,TrainingTimesLastYear,EducationField,Education,Gender,cat_BusinessTravel,ord_Department,BusinessTravel,Department,PerformanceRating
1,41,5993,8,4,6,2,1,2,1,1,4,2,5,8,0,1102,3,0,7,94,11,19479,0,1,2,0,1.0,1.0,2,2,3
0,49,5130,10,2,10,3,3,2,4,8,7,1,7,1,1,279,2,1,6,61,23,24907,3,1,1,1,2.0,2.0,1,1,4
1,37,2090,7,3,0,4,3,1,2,2,0,2,0,6,0,1373,2,0,2,92,15,2396,3,4,2,1,1.0,2.0,2,1,3
1,33,2909,8,3,8,4,3,1,3,3,7,1,0,1,0,1392,3,3,6,56,11,23159,3,1,4,0,2.0,2.0,1,1,3
0,27,3468,6,2,2,1,3,1,4,2,2,1,2,9,1,591,3,2,2,40,12,16632,3,3,1,1,1.0,2.0,2,1,3
0,32,3068,8,4,7,4,2,1,3,2,7,2,6,0,0,1005,3,3,2,79,13,11864,2,1,2,1,2.0,2.0,1,1,3
1,59,2670,12,1,1,3,2,1,1,3,0,1,0,4,3,1324,4,0,2,81,20,9964,3,3,3,0,1.0,2.0,2,1,4
0,30,2693,1,3,1,4,3,1,2,24,0,0,0,1,1,1358,3,0,2,67,22,13335,2,1,1,1,1.0,2.0,2,1,4
0,38,9526,10,3,9,4,3,3,2,23,7,2,8,0,0,216,2,1,4,44,21,8787,2,1,3,1,2.0,2.0,1,1,4
0,36,5237,17,3,7,3,2,2,2,27,7,1,7,6,2,1299,3,7,0,94,13,16577,3,3,3,1,1.0,2.0,2,1,3
0,35,2426,6,2,5,1,3,1,3,16,4,1,3,0,1,809,4,0,2,84,13,16479,5,3,3,1,1.0,2.0,2,1,3
1,29,4193,10,3,9,4,3,2,4,15,5,2,8,0,0,153,2,0,2,49,12,12682,3,1,2,0,1.0,2.0,2,1,3
0,31,2911,5,3,5,1,2,1,4,26,2,0,3,1,1,670,3,4,6,31,17,15170,1,1,1,1,1.0,2.0,2,1,3
0,34,2661,3,4,2,2,3,1,3,19,2,0,2,0,1,1346,3,1,2,93,11,8758,2,3,2,1,1.0,2.0,2,1,3
1,28,2028,6,3,4,3,3,1,2,24,2,2,3,5,0,103,2,0,2,50,14,12947,4,1,3,1,1.0,2.0,2,1,3
0,29,9980,10,1,10,2,3,3,3,21,9,0,8,1,1,1389,4,8,4,51,11,10195,1,1,4,0,1.0,2.0,2,1,3
1,32,3298,7,2,6,1,2,1,4,5,2,0,5,0,2,334,4,0,6,80,12,15053,5,1,2,1,1.0,2.0,2,1,3
1,22,2935,1,4,1,4,2,1,2,16,0,0,0,1,2,1123,4,0,2,96,13,7324,2,3,2,1,3.0,2.0,0,1,3
0,53,15427,31,4,25,1,3,4,3,2,8,1,7,2,0,1219,2,3,3,78,16,22021,3,1,4,0,1.0,1.0,2,2,3
1,38,3944,6,4,3,4,3,1,3,2,2,2,2,5,0,371,3,1,6,45,11,4306,3,1,3,1,1.0,2.0,2,1,3
0,24,4011,5,3,4,1,2,2,4,11,2,0,3,0,1,673,4,1,4,96,18,8232,5,4,2,0,3.0,2.0,0,1,3
0,36,3407,10,1,5,3,3,1,2,9,3,2,3,7,0,1218,2,0,8,82,23,6986,4,1,4,1,1.0,1.0,2,2,4
0,34,11994,13,2,12,1,3,3,3,7,6,2,11,0,0,419,3,2,5,53,11,21293,4,1,4,0,1.0,2.0,2,1,3
0,21,1232,0,4,0,3,3,1,4,15,0,2,0,1,0,391,3,0,6,96,14,19281,6,1,2,1,1.0,2.0,2,1,3
0,34,2960,8,1,4,2,3,1,3,6,2,2,3,2,0,699,3,1,6,83,11,17102,2,3,1,1,1.0,2.0,2,1,3
0,53,19094,26,3,14,3,2,5,4,5,13,0,8,4,1,1282,3,4,3,58,11,10735,3,4,3,0,1.0,2.0,2,1,3
1,32,3919,10,1,10,2,3,1,2,16,2,2,7,1,0,1125,1,6,6,72,22,4681,5,1,1,0,2.0,2.0,1,1,4
0,42,6825,10,2,9,3,3,2,4,8,7,1,2,0,1,691,3,4,7,48,11,21173,2,2,4,1,1.0,1.0,2,2,3
0,44,10248,24,4,22,1,3,3,4,7,6,1,17,3,1,477,2,5,0,42,14,2094,4,3,4,0,1.0,2.0,2,1,3
0,46,18947,22,1,2,2,2,5,4,2,2,2,1,3,0,705,3,2,3,83,12,22822,2,2,4,0,1.0,1.0,2,2,3
0,33,2496,7,4,1,3,3,1,4,2,1,2,0,4,0,924,3,0,2,78,11,6670,3,3,3,1,1.0,2.0,2,1,3
